"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","216","should retrieve all booking IDs successfully","chromium","2026-07-09","passed","2026-07-09","Booking API - Get All Booking IDs","booking/getAllBookingIds.spec.ts","",""
"","251","should create a new booking then update same booking successfully","chromium","2026-07-09","passed","2026-07-09","Booking API - Create Booking-->Update same boking","booking/updateBooking.spec.ts","",""
"","362","should create a new booking successfully","chromium","2026-07-09","passed","2026-07-09","Booking API - Create Booking","booking/createBooking.spec.ts","",""
"","84","should get booking details by booking id","chromium","2026-07-09","passed","2026-07-09","Booking API - Get All Booking IDs","booking/getAllBookingIds.spec.ts","",""
"","232","should create a new booking --> delete th same booking successfully","chromium","2026-07-09","passed","2026-07-09","Booking API - Create Booking--then delete booking","booking/deleteBooking.spec.ts","",""
"","230","should update a booking with PATCH Endpoint","chromium","2026-07-09","passed","2026-07-09","Booking API - Create Booking-->Update same boking","booking/updateBooking.spec.ts","",""
